Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,158.0,160.0,158.0,158.0,158.0,2800
2025-05-14,159.0,166.0,158.0,161.0,161.0,167200
2025-05-15,165.0,167.0,160.0,163.0,163.0,165400
2025-05-16,163.0,165.0,162.0,163.0,163.0,44900
2025-05-19,162.0,165.0,162.0,162.0,162.0,105000
2025-05-20,162.0,164.0,162.0,163.0,163.0,59000
2025-05-21,163.0,166.0,163.0,166.0,166.0,46800
2025-05-22,164.0,166.0,164.0,164.0,164.0,54000
2025-05-23,165.0,165.0,162.0,162.0,162.0,116500
2025-05-26,162.0,166.0,162.0,163.0,163.0,57500
2025-05-27,163.0,168.0,163.0,164.0,164.0,351300
2025-05-28,164.0,206.0,164.0,174.0,174.0,9928600
2025-06-02,176.0,179.0,171.0,172.0,172.0,608000
2025-06-03,172.0,176.0,170.0,170.0,170.0,189600
2025-06-04,170.0,181.0,170.0,175.0,175.0,206900
2025-06-05,175.0,175.0,171.0,174.0,174.0,101400
2025-06-10,174.0,180.0,172.0,172.0,172.0,95500
2025-06-11,172.0,176.0,172.0,176.0,176.0,158400
2025-06-12,176.0,180.0,170.0,180.0,180.0,176900
2025-06-13,180.0,181.0,175.0,180.0,180.0,218700
2025-06-16,181.0,185.0,180.0,181.0,181.0,256700
2025-06-17,181.0,181.0,175.0,179.0,179.0,71600
2025-06-18,179.0,186.0,177.0,179.0,179.0,84400
2025-06-19,179.0,185.0,169.0,180.0,180.0,254400
2025-06-20,178.0,181.0,172.0,181.0,181.0,272100
2025-06-23,179.0,179.0,168.0,171.0,171.0,131200
2025-06-24,171.0,179.0,169.0,179.0,179.0,334700
2025-06-25,179.0,180.0,174.0,180.0,180.0,45100
2025-06-26,181.0,181.0,175.0,176.0,176.0,57300
2025-06-30,176.0,176.0,168.0,168.0,168.0,12000
2025-07-01,175.0,176.0,168.0,171.0,171.0,38000
2025-07-02,171.0,174.0,162.0,168.0,168.0,204400
2025-07-03,166.0,168.0,165.0,168.0,168.0,24900
2025-07-04,166.0,169.0,164.0,168.0,168.0,4500
2025-07-07,166.0,170.0,165.0,166.0,166.0,49200
2025-07-08,162.0,175.0,158.0,175.0,175.0,124300
2025-07-09,172.0,172.0,169.0,172.0,172.0,140200
2025-07-10,172.0,172.0,169.0,172.0,172.0,158200
2025-07-11,173.0,175.0,166.0,173.0,173.0,456600
2025-07-14,175.0,175.0,167.0,173.0,173.0,60700
2025-07-15,173.0,175.0,158.0,175.0,175.0,346100
2025-07-16,175.0,179.0,168.0,178.0,178.0,678700
2025-07-17,179.0,179.0,162.0,171.0,171.0,727500
2025-07-18,178.0,178.0,170.0,174.0,174.0,46500
2025-07-21,174.0,180.0,172.0,175.0,175.0,204900
2025-07-22,175.0,179.0,169.0,179.0,179.0,160900
2025-07-23,175.0,178.0,173.0,175.0,175.0,87700
2025-07-24,173.0,179.0,165.0,177.0,177.0,441700
2025-07-25,177.0,182.0,173.0,176.0,176.0,260900
2025-07-28,174.0,180.0,171.0,172.0,172.0,19700
2025-07-29,180.0,183.0,175.0,180.0,180.0,292200
2025-07-30,180.0,184.0,176.0,183.0,183.0,181700
2025-07-31,184.0,185.0,171.0,183.0,183.0,330100
2025-08-01,185.0,188.0,183.0,188.0,188.0,429800
2025-08-04,189.0,189.0,182.0,184.0,184.0,96200
2025-08-05,183.0,185.0,183.0,184.0,184.0,114100
2025-08-06,184.0,187.0,184.0,185.0,185.0,47800
2025-08-07,185.0,188.0,185.0,186.0,186.0,221500
2025-08-08,186.0,186.0,183.0,183.0,183.0,31600
2025-08-11,183.0,185.0,183.0,184.0,184.0,20600
