Date,Open,High,Low,Close,Adj Close,Volume
2025-05-09,15.0,15.0,14.0,15.0,15.0,7286300
2025-05-14,15.0,15.0,14.0,15.0,15.0,4158500
2025-05-15,15.0,15.0,14.0,14.0,14.0,2261600
2025-05-16,14.0,14.0,14.0,14.0,14.0,5387300
2025-05-19,14.0,15.0,14.0,15.0,15.0,6972600
2025-05-20,15.0,15.0,15.0,15.0,15.0,12595000
2025-05-21,15.0,15.0,14.0,15.0,15.0,2017800
2025-05-22,15.0,15.0,14.0,15.0,15.0,4092300
2025-05-23,14.0,15.0,14.0,15.0,15.0,1190700
2025-05-26,15.0,15.0,15.0,15.0,15.0,16791200
2025-05-27,15.0,15.0,14.0,15.0,15.0,2429100
2025-05-28,15.0,15.0,15.0,15.0,15.0,4902700
2025-06-02,15.0,15.0,14.0,14.0,14.0,5184500
2025-06-03,15.0,15.0,14.0,14.0,14.0,2960200
2025-06-04,14.0,14.0,14.0,14.0,14.0,5501600
2025-06-05,14.0,14.0,14.0,14.0,14.0,2022800
2025-06-10,14.0,15.0,14.0,14.0,14.0,6534700
2025-06-11,15.0,15.0,14.0,15.0,15.0,2040700
2025-06-12,14.0,15.0,14.0,14.0,14.0,4284000
2025-06-13,15.0,15.0,15.0,15.0,15.0,20839900
2025-06-16,15.0,15.0,14.0,14.0,14.0,8161400
2025-06-17,15.0,15.0,14.0,14.0,14.0,2352400
2025-06-18,14.0,15.0,14.0,14.0,14.0,3896200
2025-06-19,14.0,14.0,14.0,14.0,14.0,1327700
2025-06-20,14.0,14.0,14.0,14.0,14.0,2100900
2025-06-23,14.0,14.0,13.0,13.0,13.0,4376100
2025-06-24,13.0,14.0,13.0,14.0,14.0,981400
2025-06-25,14.0,14.0,14.0,14.0,14.0,3464300
2025-06-26,14.0,14.0,14.0,14.0,14.0,1687800
2025-06-30,14.0,14.0,13.0,13.0,13.0,6663200
2025-07-01,13.0,13.0,13.0,13.0,13.0,6850200
2025-07-02,13.0,13.0,13.0,13.0,13.0,5661600
2025-07-03,13.0,13.0,13.0,13.0,13.0,4340300
2025-07-04,13.0,14.0,13.0,14.0,14.0,3411600
2025-07-07,14.0,14.0,14.0,14.0,14.0,848000
2025-07-08,14.0,14.0,13.0,14.0,14.0,591600
2025-07-09,14.0,14.0,13.0,14.0,14.0,2468000
2025-07-10,13.0,14.0,13.0,13.0,13.0,2829100
2025-07-11,13.0,14.0,13.0,13.0,13.0,4111800
2025-07-14,14.0,14.0,12.0,12.0,12.0,15072000
2025-07-15,13.0,13.0,12.0,12.0,12.0,4294900
2025-07-16,12.0,12.0,12.0,12.0,12.0,5164700
2025-07-17,13.0,13.0,13.0,13.0,13.0,12587900
2025-07-18,13.0,13.0,13.0,13.0,13.0,29457000
2025-07-21,13.0,13.0,13.0,13.0,13.0,5215600
2025-07-22,13.0,13.0,13.0,13.0,13.0,3831900
2025-07-23,13.0,13.0,13.0,13.0,13.0,3396100
2025-07-24,13.0,13.0,13.0,13.0,13.0,7042700
2025-07-25,13.0,13.0,13.0,13.0,13.0,994300
2025-07-28,13.0,13.0,12.0,13.0,13.0,861700
2025-07-29,13.0,13.0,13.0,13.0,13.0,1439900
2025-07-30,13.0,13.0,12.0,13.0,13.0,6762200
2025-07-31,13.0,13.0,12.0,13.0,13.0,14489000
2025-08-01,12.0,13.0,12.0,13.0,13.0,19314200
2025-08-04,12.0,13.0,12.0,13.0,13.0,13713700
2025-08-05,12.0,13.0,12.0,13.0,13.0,12796000
2025-08-06,12.0,13.0,12.0,12.0,12.0,11437900
2025-08-07,12.0,13.0,12.0,13.0,13.0,9345900
2025-08-08,13.0,13.0,12.0,12.0,12.0,10168900
2025-08-11,12.0,12.0,12.0,12.0,12.0,135634800
