Date,Open,High,Low,Close,Adj Close,Volume
2025-03-03,890.0,980.0,885.0,965.0,909.3443603515624,20156800
2025-03-04,965.0,970.0,895.0,905.0,852.8048095703125,20489000
2025-03-05,915.0,965.0,915.0,955.0,899.9210815429688,15125400
2025-03-06,965.0,985.0,960.0,965.0,909.3443603515624,8458400
2025-03-07,985.0,1035.0,975.0,1015.0,956.4606323242188,22705200
2025-03-10,1025.0,1030.0,985.0,985.0,928.1908569335938,10435200
2025-03-11,975.0,990.0,955.0,980.0,923.479248046875,9875000
2025-03-12,985.0,1000.0,975.0,975.0,918.7676391601562,12503500
2025-03-13,980.0,985.0,960.0,970.0,914.0559692382812,8468300
2025-03-14,1020.0,1060.0,1020.0,1030.0,970.5955200195312,49180400
2025-03-17,1035.0,1035.0,1000.0,1010.0,951.7490234375,17159200
2025-03-18,1015.0,1020.0,920.0,975.0,918.7676391601562,28468800
2025-03-19,975.0,980.0,955.0,965.0,909.3443603515624,11331000
2025-03-20,970.0,975.0,935.0,940.0,885.7862548828125,16743900
2025-03-21,950.0,950.0,895.0,905.0,852.8048095703125,11658600
2025-03-24,905.0,910.0,850.0,885.0,833.9583129882812,16097600
2025-03-25,895.0,905.0,855.0,890.0,838.669921875,12804300
2025-03-26,905.0,965.0,900.0,965.0,909.3443603515624,24322200
2025-03-27,965.0,970.0,935.0,960.0,904.6327514648438,10898200
2025-04-08,850.0,875.0,825.0,840.0,791.5536499023438,24496000
2025-04-09,835.0,925.0,835.0,915.0,862.2280883789062,44854100
2025-04-10,955.0,980.0,930.0,930.0,876.3629760742188,49444000
2025-04-11,930.0,990.0,925.0,960.0,904.6327514648438,28874700
2025-04-14,970.0,1025.0,970.0,1020.0,961.1723022460938,24712200
2025-04-15,1030.0,1060.0,1015.0,1015.0,956.4606323242188,37898600
2025-04-16,1015.0,1040.0,1005.0,1015.0,956.4606323242188,20666100
2025-04-17,1020.0,1035.0,1010.0,1010.0,951.7490234375,10558300
2025-04-21,1025.0,1045.0,1020.0,1030.0,970.5955200195312,15940000
2025-04-22,1045.0,1080.0,1030.0,1070.0,1008.28857421875,30093200
2025-04-23,1090.0,1095.0,1025.0,1035.0,975.3071899414062,26004600
2025-04-24,1045.0,1075.0,1040.0,1065.0,1003.5769653320312,21759100
2025-04-25,1080.0,1170.0,1060.0,1135.0,1069.539794921875,55092100
2025-04-28,1155.0,1180.0,1135.0,1175.0,1107.2327880859375,44500200
2025-04-29,1180.0,1185.0,1155.0,1165.0,1097.8095703125,18670200
2025-04-30,1170.0,1215.0,1145.0,1190.0,1121.36767578125,48407100
2025-05-02,1195.0,1200.0,1100.0,1105.0,1041.27001953125,75597800
2025-05-05,1100.0,1120.0,1080.0,1110.0,1045.9815673828125,36933500
2025-05-06,1120.0,1205.0,1115.0,1195.0,1126.079345703125,105718500
2025-05-07,1195.0,1250.0,1180.0,1215.0,1144.92578125,103601200
