Datetime,Open,High,Low,Close,Adj Close,Volume
2022-08-04 07:00:00+07:00,108.0,110.0,90.0,105.0,105.0,368990300
2022-08-05 07:00:00+07:00,99.0,108.0,95.0,99.0,99.0,90691100
2022-08-08 07:00:00+07:00,99.0,100.0,95.0,95.0,95.0,23505600
2022-08-09 07:00:00+07:00,94.0,104.0,90.0,101.0,101.0,71048300
2022-08-10 07:00:00+07:00,103.0,110.0,101.0,108.0,108.0,26207100
2022-08-11 07:00:00+07:00,110.0,118.0,107.0,116.0,116.0,39586800
2022-08-12 07:00:00+07:00,118.0,127.0,105.0,105.0,105.0,65016900
2022-08-15 07:00:00+07:00,95.0,101.0,95.0,96.0,96.0,34763600
2022-08-16 07:00:00+07:00,88.0,103.0,88.0,101.0,101.0,37470300
2022-08-18 07:00:00+07:00,102.0,105.0,94.0,96.0,96.0,38200800
2022-08-19 07:00:00+07:00,94.0,103.0,91.0,103.0,103.0,58610300
2022-08-22 07:00:00+07:00,103.0,105.0,98.0,103.0,103.0,11150200
2022-08-23 07:00:00+07:00,104.0,107.0,101.0,106.0,106.0,14649000
2022-08-24 07:00:00+07:00,107.0,116.0,103.0,116.0,116.0,24313800
2022-08-25 07:00:00+07:00,113.0,127.0,113.0,127.0,127.0,17082100
2022-08-26 07:00:00+07:00,129.0,139.0,129.0,134.0,134.0,9231700
2022-08-29 07:00:00+07:00,135.0,135.0,121.0,121.0,121.0,6575200
2022-08-30 07:00:00+07:00,122.0,133.0,121.0,133.0,133.0,7706000
2022-08-31 07:00:00+07:00,135.0,146.0,120.0,135.0,135.0,17130500
2022-09-01 07:00:00+07:00,135.0,148.0,135.0,144.0,144.0,5297800
2022-09-02 07:00:00+07:00,144.0,157.0,131.0,135.0,135.0,9006700
2022-09-05 07:00:00+07:00,136.0,147.0,126.0,142.0,142.0,4334000
2022-09-06 07:00:00+07:00,142.0,153.0,142.0,152.0,152.0,6001000
2022-09-07 07:00:00+07:00,149.0,167.0,149.0,167.0,167.0,3984900
2022-09-08 07:00:00+07:00,176.0,183.0,176.0,183.0,183.0,324800
2022-09-09 07:00:00+07:00,184.0,200.0,167.0,192.0,192.0,222285500
2022-09-12 07:00:00+07:00,192.0,210.0,191.0,210.0,210.0,236413100
2022-09-13 07:00:00+07:00,210.0,230.0,210.0,230.0,230.0,124008400
2022-09-14 07:00:00+07:00,230.0,252.0,228.0,252.0,252.0,81970000
2022-09-15 07:00:00+07:00,252.0,262.0,228.0,228.0,228.0,111241000
2022-09-16 07:00:00+07:00,206.0,206.0,206.0,206.0,206.0,441600
2022-09-19 07:00:00+07:00,186.0,186.0,186.0,186.0,186.0,531700
2022-09-20 07:00:00+07:00,168.0,168.0,168.0,168.0,168.0,331400
2022-09-21 07:00:00+07:00,152.0,181.0,152.0,181.0,181.0,528911900
2022-09-22 07:00:00+07:00,181.0,193.0,163.0,163.0,163.0,650882900
2022-09-23 07:00:00+07:00,156.0,160.0,147.0,147.0,147.0,366331300
2022-09-26 07:00:00+07:00,133.0,157.0,133.0,146.0,146.0,635547000
2022-09-27 07:00:00+07:00,146.0,154.0,139.0,147.0,147.0,558902100
2022-09-28 07:00:00+07:00,147.0,149.0,133.0,133.0,133.0,1275386400
2022-09-29 07:00:00+07:00,120.0,123.0,120.0,120.0,120.0,382873400
2022-09-30 07:00:00+07:00,108.0,109.0,108.0,108.0,108.0,81688000
2022-10-03 07:00:00+07:00,98.0,117.0,98.0,113.0,113.0,276993000
2022-10-04 07:00:00+07:00,113.0,121.0,112.0,117.0,117.0,263121000
2022-10-05 07:00:00+07:00,117.0,123.0,116.0,120.0,120.0,235883500
2022-10-06 07:00:00+07:00,120.0,124.0,114.0,117.0,117.0,274455900
2022-10-07 07:00:00+07:00,117.0,123.0,115.0,119.0,119.0,267538000
2022-10-10 07:00:00+07:00,119.0,123.0,108.0,108.0,108.0,462346700
2022-10-11 07:00:00+07:00,98.0,105.0,98.0,98.0,98.0,188185000
2022-10-12 07:00:00+07:00,89.0,93.0,89.0,89.0,89.0,117689500
2022-10-13 07:00:00+07:00,81.0,97.0,81.0,95.0,95.0,262173400
2022-10-14 07:00:00+07:00,95.0,104.0,86.0,86.0,86.0,605482600
2022-10-17 07:00:00+07:00,78.0,82.0,78.0,78.0,78.0,122420000
2022-10-18 07:00:00+07:00,71.0,72.0,71.0,71.0,71.0,45089800
2022-10-19 07:00:00+07:00,64.0,64.0,64.0,64.0,64.0,11969100
2022-10-20 07:00:00+07:00,60.0,68.0,58.0,63.0,63.0,58926900
2022-10-21 07:00:00+07:00,63.0,64.0,61.0,62.0,62.0,17135600
2022-10-24 07:00:00+07:00,56.0,62.0,56.0,59.0,59.0,21788700
2022-10-25 07:00:00+07:00,59.0,60.0,54.0,55.0,55.0,29776600
2022-10-26 07:00:00+07:00,56.0,56.0,51.0,55.0,55.0,31543000
2022-10-27 07:00:00+07:00,55.0,59.0,55.0,59.0,59.0,24622200
2022-10-28 07:00:00+07:00,58.0,60.0,54.0,56.0,56.0,14402900
2022-10-31 07:00:00+07:00,56.0,56.0,54.0,55.0,55.0,7443900
2022-11-01 07:00:00+07:00,55.0,55.0,52.0,53.0,53.0,10474200
2022-11-02 07:00:00+07:00,54.0,54.0,49.0,49.0,49.0,16386400
2022-11-03 07:00:00+07:00,49.0,53.0,46.0,48.0,48.0,21730400
2022-11-04 07:00:00+07:00,49.0,51.0,48.0,49.0,49.0,6013200
2022-11-07 07:00:00+07:00,49.0,50.0,47.0,47.0,47.0,3171100
2022-11-08 07:00:00+07:00,47.0,48.0,45.0,46.0,46.0,6720800
2022-11-09 07:00:00+07:00,46.0,47.0,43.0,44.0,44.0,7860400
2022-11-10 07:00:00+07:00,44.0,44.0,41.0,42.0,42.0,5079200
2022-11-11 07:00:00+07:00,42.0,46.0,41.0,46.0,46.0,16481200
2022-11-14 07:00:00+07:00,47.0,50.0,47.0,50.0,50.0,9488300
2022-11-15 07:00:00+07:00,54.0,55.0,52.0,55.0,55.0,8664200
2022-11-16 07:00:00+07:00,60.0,60.0,57.0,60.0,60.0,16306000
2022-11-17 07:00:00+07:00,66.0,66.0,55.0,55.0,55.0,57070500
2022-11-18 07:00:00+07:00,56.0,59.0,51.0,53.0,53.0,27618700
2022-11-21 07:00:00+07:00,53.0,55.0,51.0,53.0,53.0,4523000
2022-11-22 07:00:00+07:00,53.0,53.0,50.0,51.0,51.0,7542500
2022-11-23 07:00:00+07:00,51.0,51.0,49.0,50.0,50.0,2660100
2022-11-24 07:00:00+07:00,50.0,51.0,48.0,49.0,49.0,3744600
2022-11-25 07:00:00+07:00,49.0,52.0,48.0,49.0,49.0,5509800
2022-11-28 07:00:00+07:00,49.0,49.0,48.0,48.0,48.0,2785100
2022-11-29 07:00:00+07:00,47.0,48.0,45.0,46.0,46.0,3365700
2022-11-30 07:00:00+07:00,46.0,50.0,46.0,50.0,50.0,4969000
2022-12-01 07:00:00+07:00,54.0,55.0,48.0,50.0,50.0,17848400
2022-12-02 07:00:00+07:00,50.0,53.0,49.0,50.0,50.0,6520700
2022-12-05 07:00:00+07:00,51.0,53.0,49.0,50.0,50.0,2740500
2022-12-06 07:00:00+07:00,50.0,50.0,47.0,48.0,48.0,3348600
