Datetime,Open,High,Low,Close,Adj Close,Volume
2022-08-02 07:00:00+07:00,44.0,47.0,42.0,47.0,47.0,6786300
2022-08-03 07:00:00+07:00,47.0,49.0,45.0,49.0,49.0,7502500
2022-08-04 07:00:00+07:00,49.0,51.0,48.0,51.0,51.0,7457400
2022-08-05 07:00:00+07:00,51.0,52.0,47.0,47.0,47.0,4794300
2022-08-08 07:00:00+07:00,47.0,49.0,46.0,48.0,48.0,6822000
2022-08-09 07:00:00+07:00,48.0,51.0,48.0,51.0,51.0,7655800
2022-08-10 07:00:00+07:00,52.0,52.0,50.0,51.0,51.0,4700300
2022-08-11 07:00:00+07:00,51.0,53.0,50.0,53.0,53.0,5577100
2022-08-12 07:00:00+07:00,54.0,54.0,51.0,53.0,53.0,4002700
2022-08-15 07:00:00+07:00,53.0,53.0,50.0,50.0,50.0,1754700
2022-08-16 07:00:00+07:00,50.0,50.0,48.0,49.0,49.0,2084400
2022-08-18 07:00:00+07:00,49.0,50.0,47.0,50.0,50.0,4814900
2022-08-19 07:00:00+07:00,50.0,50.0,49.0,50.0,50.0,6462800
2022-08-22 07:00:00+07:00,50.0,51.0,50.0,51.0,51.0,5660100
2022-08-23 07:00:00+07:00,51.0,52.0,50.0,51.0,51.0,6416700
2022-08-24 07:00:00+07:00,51.0,51.0,50.0,50.0,50.0,4024300
2022-08-25 07:00:00+07:00,50.0,50.0,49.0,50.0,50.0,4243600
2022-08-26 07:00:00+07:00,49.0,53.0,49.0,53.0,53.0,7804900
2022-08-29 07:00:00+07:00,53.0,55.0,51.0,55.0,55.0,6631200
2022-08-30 07:00:00+07:00,54.0,60.0,54.0,57.0,57.0,7679900
2022-08-31 07:00:00+07:00,57.0,58.0,56.0,58.0,58.0,578800
2022-09-01 07:00:00+07:00,57.0,57.0,55.0,55.0,55.0,4482000
2022-09-02 07:00:00+07:00,55.0,55.0,54.0,55.0,55.0,4776400
2022-09-05 07:00:00+07:00,54.0,55.0,54.0,55.0,55.0,3673500
2022-09-06 07:00:00+07:00,56.0,56.0,54.0,54.0,54.0,3866800
2022-09-07 07:00:00+07:00,54.0,54.0,52.0,53.0,53.0,3738500
2022-09-08 07:00:00+07:00,53.0,53.0,51.0,53.0,53.0,5242200
2022-09-09 07:00:00+07:00,54.0,57.0,53.0,57.0,57.0,8287100
2022-09-12 07:00:00+07:00,58.0,59.0,56.0,59.0,59.0,7476800
2022-09-13 07:00:00+07:00,57.0,59.0,56.0,57.0,57.0,2702500
2022-09-14 07:00:00+07:00,53.0,62.0,53.0,62.0,62.0,9030900
2022-09-15 07:00:00+07:00,65.0,68.0,63.0,68.0,68.0,12029000
2022-09-16 07:00:00+07:00,68.0,70.0,62.0,62.0,62.0,2595500
