Datetime,Open,High,Low,Close,Adj Close,Volume
2022-08-02 07:00:00+07:00,53.0,54.0,52.0,53.0,53.0,1103000
2022-08-03 07:00:00+07:00,53.0,53.0,52.0,52.0,52.0,515500
2022-08-04 07:00:00+07:00,52.0,53.0,52.0,52.0,52.0,700600
2022-08-05 07:00:00+07:00,52.0,53.0,51.0,53.0,53.0,1142900
2022-08-08 07:00:00+07:00,53.0,56.0,51.0,53.0,53.0,6606300
2022-08-09 07:00:00+07:00,54.0,55.0,52.0,52.0,52.0,6361300
2022-08-10 07:00:00+07:00,52.0,54.0,52.0,53.0,53.0,4695800
2022-08-11 07:00:00+07:00,53.0,54.0,51.0,52.0,52.0,6066700
2022-08-12 07:00:00+07:00,52.0,52.0,51.0,52.0,52.0,1429600
2022-08-15 07:00:00+07:00,51.0,53.0,51.0,52.0,52.0,2412700
2022-08-16 07:00:00+07:00,53.0,53.0,51.0,51.0,51.0,1350300
2022-08-18 07:00:00+07:00,51.0,52.0,51.0,51.0,51.0,1265000
2022-08-19 07:00:00+07:00,51.0,52.0,50.0,50.0,50.0,1033900
2022-08-22 07:00:00+07:00,50.0,52.0,50.0,51.0,51.0,3816500
2022-08-23 07:00:00+07:00,51.0,51.0,50.0,50.0,50.0,1484700
2022-08-24 07:00:00+07:00,50.0,51.0,50.0,51.0,51.0,294100
2022-08-25 07:00:00+07:00,51.0,52.0,50.0,51.0,51.0,1430500
2022-08-26 07:00:00+07:00,51.0,53.0,50.0,51.0,51.0,3776400
2022-08-29 07:00:00+07:00,51.0,53.0,50.0,51.0,51.0,3376500
2022-08-30 07:00:00+07:00,52.0,55.0,51.0,52.0,52.0,5403900
2022-08-31 07:00:00+07:00,53.0,53.0,51.0,52.0,52.0,1117900
2022-09-01 07:00:00+07:00,52.0,53.0,51.0,51.0,51.0,1194900
2022-09-02 07:00:00+07:00,51.0,56.0,51.0,56.0,56.0,6044300
2022-09-05 07:00:00+07:00,57.0,59.0,53.0,58.0,58.0,5671200
2022-09-06 07:00:00+07:00,58.0,58.0,54.0,58.0,58.0,3344800
2022-09-07 07:00:00+07:00,58.0,63.0,58.0,63.0,63.0,4359200
2022-09-08 07:00:00+07:00,65.0,69.0,59.0,59.0,59.0,11817400
2022-09-09 07:00:00+07:00,59.0,63.0,57.0,62.0,62.0,7276600
2022-09-12 07:00:00+07:00,63.0,65.0,62.0,63.0,63.0,3927000
2022-09-13 07:00:00+07:00,64.0,64.0,62.0,62.0,62.0,2505200
2022-09-14 07:00:00+07:00,60.0,64.0,60.0,63.0,63.0,3722500
2022-09-15 07:00:00+07:00,63.0,64.0,61.0,62.0,62.0,3338800
2022-09-16 07:00:00+07:00,62.0,63.0,61.0,61.0,61.0,2556600
2022-09-19 07:00:00+07:00,62.0,63.0,60.0,61.0,61.0,2010700
2022-09-20 07:00:00+07:00,61.0,64.0,60.0,63.0,63.0,3105600
2022-09-21 07:00:00+07:00,64.0,66.0,62.0,63.0,63.0,8089000
2022-09-22 07:00:00+07:00,63.0,63.0,59.0,60.0,60.0,3301700
2022-09-23 07:00:00+07:00,61.0,63.0,60.0,61.0,61.0,3088000
2022-09-26 07:00:00+07:00,60.0,62.0,60.0,62.0,62.0,1938000
2022-09-27 07:00:00+07:00,62.0,62.0,61.0,61.0,61.0,179500
2022-09-28 07:00:00+07:00,61.0,62.0,60.0,61.0,61.0,936100
2022-09-29 07:00:00+07:00,61.0,61.0,57.0,57.0,57.0,487400
2022-09-30 07:00:00+07:00,58.0,58.0,54.0,54.0,54.0,1685000
2022-10-03 07:00:00+07:00,53.0,59.0,51.0,59.0,59.0,3315600
2022-10-04 07:00:00+07:00,63.0,63.0,55.0,58.0,58.0,2860400
2022-10-05 07:00:00+07:00,58.0,60.0,56.0,58.0,58.0,859200
2022-10-06 07:00:00+07:00,58.0,62.0,58.0,60.0,60.0,2227900
2022-10-07 07:00:00+07:00,60.0,61.0,58.0,58.0,58.0,127000
2022-10-10 07:00:00+07:00,59.0,59.0,57.0,57.0,57.0,377400
2022-10-11 07:00:00+07:00,58.0,62.0,58.0,60.0,60.0,5127400
2022-10-12 07:00:00+07:00,60.0,61.0,58.0,60.0,60.0,1633500
2022-10-13 07:00:00+07:00,59.0,60.0,58.0,58.0,58.0,767300
2022-10-14 07:00:00+07:00,55.0,60.0,54.0,57.0,57.0,2645900
2022-10-17 07:00:00+07:00,57.0,60.0,54.0,54.0,54.0,1585100
2022-10-18 07:00:00+07:00,54.0,57.0,51.0,54.0,54.0,670200
2022-10-19 07:00:00+07:00,54.0,57.0,54.0,55.0,55.0,232700
2022-10-20 07:00:00+07:00,55.0,59.0,54.0,56.0,56.0,1641500
2022-10-21 07:00:00+07:00,57.0,59.0,55.0,58.0,58.0,1820400
2022-10-24 07:00:00+07:00,58.0,59.0,56.0,57.0,57.0,870000
2022-10-25 07:00:00+07:00,58.0,59.0,56.0,56.0,56.0,238100
2022-10-26 07:00:00+07:00,58.0,59.0,56.0,58.0,58.0,2024600
2022-10-27 07:00:00+07:00,58.0,59.0,57.0,58.0,58.0,1166800
2022-10-28 07:00:00+07:00,57.0,59.0,57.0,58.0,58.0,3201600
2022-10-31 07:00:00+07:00,58.0,59.0,57.0,58.0,58.0,1008400
2022-11-01 07:00:00+07:00,58.0,59.0,57.0,57.0,57.0,258200
2022-11-02 07:00:00+07:00,57.0,58.0,56.0,57.0,57.0,564100
2022-11-03 07:00:00+07:00,56.0,58.0,56.0,56.0,56.0,948800
2022-11-04 07:00:00+07:00,57.0,57.0,55.0,56.0,56.0,396200
2022-11-07 07:00:00+07:00,56.0,58.0,55.0,56.0,56.0,1336700
2022-11-08 07:00:00+07:00,57.0,57.0,56.0,57.0,57.0,131600
2022-11-09 07:00:00+07:00,57.0,57.0,55.0,57.0,57.0,541200
2022-11-10 07:00:00+07:00,57.0,57.0,55.0,56.0,56.0,1106500
2022-11-11 07:00:00+07:00,56.0,56.0,55.0,56.0,56.0,42100
2022-11-14 07:00:00+07:00,56.0,57.0,54.0,55.0,55.0,1209200
2022-11-15 07:00:00+07:00,55.0,57.0,55.0,56.0,56.0,756700
2022-11-16 07:00:00+07:00,56.0,58.0,55.0,56.0,56.0,3181200
2022-11-17 07:00:00+07:00,57.0,58.0,55.0,57.0,57.0,1572700
2022-11-18 07:00:00+07:00,54.0,58.0,54.0,56.0,56.0,3618100
2022-11-21 07:00:00+07:00,56.0,58.0,56.0,57.0,57.0,1546400
2022-11-22 07:00:00+07:00,56.0,58.0,56.0,57.0,57.0,518100
2022-11-23 07:00:00+07:00,57.0,57.0,55.0,56.0,56.0,1337500
2022-11-24 07:00:00+07:00,55.0,57.0,54.0,55.0,55.0,629800
2022-11-25 07:00:00+07:00,56.0,56.0,55.0,55.0,55.0,14700
2022-11-28 07:00:00+07:00,55.0,56.0,55.0,56.0,56.0,34900
2022-11-29 07:00:00+07:00,56.0,57.0,55.0,56.0,56.0,201000
2022-11-30 07:00:00+07:00,56.0,57.0,55.0,56.0,56.0,47800
2022-12-01 07:00:00+07:00,56.0,56.0,55.0,56.0,56.0,122500
2022-12-02 07:00:00+07:00,55.0,56.0,53.0,55.0,55.0,96200
2022-12-05 07:00:00+07:00,56.0,56.0,54.0,54.0,54.0,951300
2022-12-06 07:00:00+07:00,54.0,56.0,51.0,54.0,54.0,3607300
2022-12-07 07:00:00+07:00,53.0,57.0,53.0,55.0,55.0,857900
2022-12-08 07:00:00+07:00,55.0,55.0,54.0,54.0,54.0,132000
2022-12-09 07:00:00+07:00,54.0,55.0,53.0,54.0,54.0,43400
2022-12-12 07:00:00+07:00,54.0,55.0,51.0,53.0,53.0,1870000
2022-12-13 07:00:00+07:00,53.0,54.0,52.0,53.0,53.0,1807100
2022-12-14 07:00:00+07:00,53.0,54.0,51.0,52.0,52.0,2298200
2022-12-15 07:00:00+07:00,52.0,53.0,51.0,51.0,51.0,1710500
2022-12-16 07:00:00+07:00,52.0,54.0,51.0,52.0,52.0,2388500
2022-12-19 07:00:00+07:00,52.0,53.0,51.0,52.0,52.0,2448900
2022-12-20 07:00:00+07:00,52.0,53.0,51.0,52.0,52.0,1141800
2022-12-21 07:00:00+07:00,52.0,53.0,50.0,50.0,50.0,1650200
2022-12-22 07:00:00+07:00,50.0,51.0,50.0,50.0,50.0,415500
2022-12-23 07:00:00+07:00,50.0,51.0,50.0,50.0,50.0,524500
2022-12-26 07:00:00+07:00,51.0,52.0,51.0,51.0,51.0,171400
2022-12-27 07:00:00+07:00,52.0,52.0,50.0,51.0,51.0,221500
2022-12-28 07:00:00+07:00,50.0,54.0,50.0,50.0,50.0,1062700
2022-12-29 07:00:00+07:00,50.0,53.0,50.0,51.0,51.0,145000
2022-12-30 07:00:00+07:00,51.0,52.0,50.0,51.0,51.0,102000
2023-01-02 07:00:00+07:00,51.0,51.0,50.0,50.0,50.0,114100
2023-01-03 07:00:00+07:00,50.0,51.0,50.0,51.0,51.0,338000
2023-01-04 07:00:00+07:00,51.0,51.0,50.0,50.0,50.0,762900
2023-01-05 07:00:00+07:00,50.0,51.0,50.0,50.0,50.0,102800
2023-01-06 07:00:00+07:00,50.0,51.0,50.0,50.0,50.0,13500
