Datetime,Open,High,Low,Close,Adj Close,Volume
2025-01-08 07:00:00+07:00,120.0,135.0,112.0,135.0,135.0,530888200
2025-01-09 07:00:00+07:00,148.0,149.0,100.0,105.0,105.0,282914800
2025-01-10 07:00:00+07:00,104.0,108.0,87.0,105.0,105.0,145910700
2025-01-13 07:00:00+07:00,110.0,114.0,100.0,104.0,104.0,83581900
2025-01-14 07:00:00+07:00,105.0,114.0,102.0,109.0,109.0,65215800
2025-01-15 07:00:00+07:00,105.0,108.0,102.0,102.0,102.0,15778500
2025-01-16 07:00:00+07:00,102.0,102.0,92.0,95.0,95.0,23608400
2025-01-17 07:00:00+07:00,90.0,102.0,90.0,97.0,97.0,16638500
2025-01-20 07:00:00+07:00,98.0,102.0,94.0,97.0,97.0,9749000
2025-01-21 07:00:00+07:00,97.0,97.0,93.0,93.0,93.0,5034600
2025-01-22 07:00:00+07:00,93.0,96.0,91.0,92.0,92.0,5789800
2025-01-23 07:00:00+07:00,92.0,94.0,87.0,87.0,87.0,6341900
2025-01-24 07:00:00+07:00,86.0,90.0,82.0,82.0,82.0,9490000
2025-01-30 07:00:00+07:00,84.0,96.0,84.0,84.0,84.0,21380800
2025-01-31 07:00:00+07:00,84.0,87.0,81.0,86.0,86.0,11461600
2025-02-03 07:00:00+07:00,88.0,88.0,81.0,82.0,82.0,4358000
2025-02-04 07:00:00+07:00,82.0,84.0,78.0,84.0,84.0,5872800
2025-02-05 07:00:00+07:00,83.0,87.0,79.0,86.0,86.0,12023400
2025-02-06 07:00:00+07:00,86.0,87.0,82.0,85.0,85.0,10083200
2025-02-07 07:00:00+07:00,85.0,89.0,81.0,88.0,88.0,13826000
2025-02-10 07:00:00+07:00,89.0,101.0,83.0,85.0,85.0,95396500
2025-02-11 07:00:00+07:00,87.0,89.0,83.0,88.0,88.0,14347300
2025-02-12 07:00:00+07:00,88.0,90.0,85.0,86.0,86.0,5919800
2025-02-13 07:00:00+07:00,86.0,89.0,85.0,88.0,88.0,5161000
2025-02-14 07:00:00+07:00,89.0,89.0,87.0,88.0,88.0,3905100
2025-02-17 07:00:00+07:00,88.0,89.0,86.0,87.0,87.0,3513300
2025-02-18 07:00:00+07:00,87.0,92.0,86.0,92.0,92.0,11523400
2025-02-19 07:00:00+07:00,93.0,93.0,89.0,89.0,89.0,3599800
2025-02-20 07:00:00+07:00,89.0,91.0,88.0,90.0,90.0,3660900
2025-02-21 07:00:00+07:00,90.0,91.0,89.0,90.0,90.0,3928900
2025-02-24 07:00:00+07:00,91.0,92.0,86.0,90.0,90.0,7034800
2025-02-25 07:00:00+07:00,90.0,95.0,88.0,93.0,93.0,16448800
2025-02-26 07:00:00+07:00,94.0,98.0,89.0,89.0,89.0,11611600
2025-02-27 07:00:00+07:00,90.0,91.0,89.0,90.0,90.0,3899600
2025-02-28 07:00:00+07:00,90.0,91.0,88.0,89.0,89.0,2928000
2025-03-03 07:00:00+07:00,88.0,91.0,86.0,90.0,90.0,4680800
2025-03-04 07:00:00+07:00,90.0,92.0,88.0,91.0,91.0,5405300
2025-03-05 07:00:00+07:00,91.0,92.0,89.0,91.0,91.0,3607500
2025-03-06 07:00:00+07:00,91.0,92.0,89.0,90.0,90.0,2491800
2025-03-07 07:00:00+07:00,91.0,92.0,90.0,92.0,92.0,2829100
2025-03-10 07:00:00+07:00,92.0,92.0,90.0,90.0,90.0,2792300
2025-03-11 07:00:00+07:00,91.0,95.0,90.0,94.0,94.0,7886500
2025-03-12 07:00:00+07:00,94.0,94.0,91.0,92.0,92.0,2955900
2025-03-13 07:00:00+07:00,93.0,94.0,90.0,93.0,93.0,3103900
2025-03-14 07:00:00+07:00,93.0,96.0,92.0,95.0,95.0,4748700
2025-03-17 07:00:00+07:00,95.0,105.0,93.0,96.0,96.0,23669400
2025-03-18 07:00:00+07:00,97.0,100.0,88.0,93.0,93.0,11216600
2025-03-19 07:00:00+07:00,91.0,93.0,89.0,93.0,93.0,3948100
2025-03-20 07:00:00+07:00,93.0,95.0,91.0,95.0,95.0,3162400
2025-03-21 07:00:00+07:00,95.0,97.0,93.0,95.0,95.0,3254600
2025-03-24 07:00:00+07:00,94.0,98.0,90.0,92.0,92.0,4159600
2025-03-25 07:00:00+07:00,93.0,93.0,89.0,89.0,89.0,3810100
2025-03-26 07:00:00+07:00,92.0,95.0,90.0,94.0,94.0,3993800
2025-03-27 07:00:00+07:00,94.0,95.0,92.0,94.0,94.0,2878300
2025-04-08 07:00:00+07:00,92.0,92.0,83.0,86.0,86.0,1919600
2025-04-09 07:00:00+07:00,85.0,90.0,83.0,86.0,86.0,4149400
2025-04-10 07:00:00+07:00,87.0,89.0,86.0,87.0,87.0,2504900
2025-04-11 07:00:00+07:00,88.0,92.0,86.0,92.0,92.0,3044600
2025-04-14 07:00:00+07:00,91.0,92.0,89.0,91.0,91.0,2749900
2025-04-15 07:00:00+07:00,89.0,92.0,89.0,91.0,91.0,2874100
2025-04-16 07:00:00+07:00,91.0,93.0,90.0,92.0,92.0,3154100
2025-04-17 07:00:00+07:00,92.0,95.0,90.0,95.0,95.0,2445900
2025-04-21 07:00:00+07:00,95.0,96.0,93.0,94.0,94.0,2767500
2025-04-22 07:00:00+07:00,93.0,97.0,93.0,97.0,97.0,2550900
